team,conf,division,qb_name,qb_value,off_value,def_value,hc_name,coaching_value,oc_name,dc_name,scheme_value,your_edge,needs_review,notes,age,exp
Buffalo Bills,AFC,East,Josh Allen,6.5,0.6,-0.5,,0.0,,,0.0,0.0,N,"+DJ Moore WR1; OL (Corbett/Cushenberry); lost Cooks/Davis/Samuel. Off 1.0→0.6: receiver room thin behind Moore + both complementary starters dinged (Coleman foot/toe, Shakir ankle — both exp Wk1); good-not-elite group that leans on Allen — but good OL & James Cook (top-tier RB). D lost Bosa/Milano, +Chubb/CGJ/Stone; expect WORSE than 2025: lost HC McDermott (still rated his D better), new HC Joe Brady, new DC Jim Leonhard (1st NFL DC) installing aggressive hybrid 3-4 vs McDermott zone-heavy = transition risk",30,8
Miami Dolphins,AFC,East,Malik Willis,-1.5,-1.5,-1.5,,0.0,,,0.0,0.0,N,"WR gutted (Hill/Waddle/Wilson out); D lost Chubb/Fitzpatrick, +Uche/Ojabo",27,4
New England Patriots,AFC,East,Drake Maye,3.0,-0.5,0.5,,0.0,,,0.0,0.0,N,"+A.J. Brown/Doubs/Vera-Tucker big skill upgrade; D +Dre'Mont Jones/Byard. Wk1 (L 10-13 at SEA): Off 0.5→-0.5 — A.J. Brown high-ankle sprain (injured Wk1 at Lumen, on IR, ~6 wks per Rapoport) removes the WR1; Maye made poor decisions but still moved the ball without Brown, so QB held 3.0",24,2
New York Jets,AFC,East,Geno Smith,-2.0,-1.0,-1.0,,0.0,,,0.0,0.0,N,Geno held -2.0; Off -2.0->-1.0: better than extreme — Garrett Wilson (real WR1) + Breece Hall + ascending young OL (Fashanu/Tippmann/Membou); Def -1.5->-1.0: unit is genuinely strong (Fitzpatrick/Demario Davis/Sweat/Onyemata) so -1.5 was too harsh; DE Ossai (ruptured plantar fascia) doubtful Wk1,36,13
Baltimore Ravens,AFC,North,Lamar Jackson,4.5,0.5,1.0,,0.0,,,0.0,0.0,N,Henry/Flowers elite (Flowers minor quad exp Wk1; Devontez Walker may miss Wk1); OL lost Linderbaum to LV. D 0.5->1.0: elite talent +Hendrickson(edge)/Campbell + Hamilton/Roquan/Humphrey/Starks/Wiggins; RATINGS' VIEW: new HC Jesse Minter is an upgrade — D returns to the Mike Macdonald style of ~3yr ago; caveat Madubuike neck surgery (possible IR),29,8
Cincinnati Bengals,AFC,North,Joe Burrow,5.0,0.5,-0.5,,0.0,,,0.0,0.0,N,"Chase/Higgins elite (Chase knee/Higgins heel — both trending to play; Dax Hill hamstring; Myles Murphy IR-DTR, misses Wk1); OL improved — now ~slightly below avg (not bottom 3-5); D big +Dexter Lawrence/Jon Allen/Mafe/Dugger (retooled, still gelling)",30,6
Cleveland Browns,AFC,North,Deshaun Watson,-3.0,-1.0,0.5,,0.0,,,0.0,0.0,N,"OL +Howard/Z.Johnson/Jenkins; D lost Garrett (to LAR), +Verse/Quincy Williams. Wk1: Watson -2.5→-3.0 (below worst-starter floor — PFF 37.0, 3 TWP, worse than expected); Def 1.0→0.5 (secondary carved by JAX/Lawrence 4TD; one more like it → further drop); Off held -1.0",31,9
Pittsburgh Steelers,AFC,North,Aaron Rodgers,-1.0,0.0,1.0,,0.0,,,0.0,0.0,N,+Pittman/Dowdle; TJ Watt D +Dean/Savage,43,21
Houston Texans,AFC,South,C.J. Stroud,0.5,0.3,2.0,,0.0,,,0.0,0.0,N,"Nico Collins +Montgomery; −0.2 O: J.Higgins IR (slight downgrade), +Boutte but still learning playbook; D Anderson/Stingley elite",25,3
Indianapolis Colts,AFC,South,Daniel Jones,0.0,0.5,0.0,,0.0,,,0.0,0.0,N,"Off 0.0->0.5: Jonathan Taylor (elite RB) + strong OL (Nelson/Raimann/Bortolini) + Pierce/Keenan Allen/Downs + Tyler Warren (2nd-yr TE) = above avg; Def -0.5->0.0: +Sauce Gardner/Charvarius Ward CB upgrade (both play Wk1), +Key/Clemons",29,7
